2020-05-12
 15:40:31.189115900
Data/j60/J60 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j60_6_8.rcp | 300.00024 | 812589 | -1 | 381577 | 300.0004 | 609218 | -1 | 719207 |  
j60_6_9.rcp | 0.0303451 | 22 | 64 | 4 | 0.0181833 | 22 | 64 | 13 |  
j60_6_10.rcp | 300.0185 | 618482 | -1 | 550161 | 300.00015 | 654798 | -1 | 1053747 |  
j60_7_1.rcp | 300.0078 | 1570126 | -1 | 244001 | 300.0006 | 1508042 | -1 | 1003338 |  
j60_7_2.rcp | 0.0194649 | 31 | 85 | 3 | 0.0126151 | 31 | 85 | 10 |  
j60_7_3.rcp | 0.0108625 | 25 | 62 | 1 | 0.0107404 | 25 | 62 | 5 |  
j60_7_4.rcp | 0.0071229 | 22 | 63 | 0 | 0.0076513 | 22 | 63 | 2 |  
j60_7_5.rcp | 0.0135295 | 30 | 71 | 6 | 0.011495 | 30 | 71 | 12 |  
j60_7_6.rcp | 0.0120674 | 30 | 65 | 8 | 0.011244 | 30 | 65 | 18 |  
j60_7_7.rcp | 0.0158769 | 38 | 89 | 5 | 0.0156098 | 38 | 89 | 18 |  
j60_7_8.rcp | 0.0118229 | 26 | 66 | 1 | 0.0091244 | 26 | 66 | 3 |  
j60_7_9.rcp | 34.96614 | 104478 | 44 | 3442 | 26.903801 | 104478 | 44 | 7066 |  
j60_7_10.rcp | 0.0126308 | 26 | 82 | 2 | 0.0091783 | 26 | 82 | 10 |  
j60_8_1.rcp | 0.0094784 | 24 | 64 | 1 | 0.0054494 | 24 | 64 | 2 |  
j60_8_2.rcp | 0.0075253 | 21 | 61 | 0 | 0.0050037 | 21 | 61 | 0 |  
j60_8_3.rcp | 0.0117814 | 27 | 79 | 1 | 0.0090846 | 27 | 79 | 2 |  
j60_8_4.rcp | 0.007439 | 23 | 64 | 0 | 0.0066305 | 23 | 64 | 0 |  
j60_8_5.rcp | 0.0109444 | 21 | 83 | 5 | 0.0086734 | 21 | 83 | 7 |  
j60_8_6.rcp | 0.0087121 | 25 | 56 | 0 | 0.0068756 | 25 | 56 | 1 |  
j60_8_7.rcp | 0.0099496 | 25 | 62 | 1 | 0.0065455 | 25 | 62 | 1 |  
j60_8_8.rcp | 0.0083325 | 21 | 66 | 2 | 0.0056869 | 21 | 66 | 3 |  
j60_8_9.rcp | 0.0092305 | 23 | 58 | 0 | 0.0055009 | 23 | 58 | 0 |  
j60_8_10.rcp | 0.0088056 | 22 | 97 | 2 | 0.009015 | 22 | 97 | 4 |  
j60_9_1.rcp | 300.02142 | 617972 | -1 | 590306 | 300.00204 | 230881 | -1 | 660887 |  
j60_9_2.rcp | 300.00027 | 696887 | -1 | 231052 | 300.00446 | 149322 | -1 | 481491 |  
j60_9_3.rcp | 300.0012 | 217339 | -1 | 717587 | 300.00235 | 103933 | -1 | 377041 |  
j60_9_4.rcp | 300.00067 | 541015 | -1 | 403318 | 300.0067 | 141744 | -1 | 352861 |  
j60_9_5.rcp | 300.0002 | 881637 | -1 | 327229 | 300.00635 | 294876 | -1 | 507904 |  
j60_9_6.rcp | 300.01987 | 561459 | -1 | 376613 | 300.00287 | 172791 | -1 | 380097 |  
j60_9_7.rcp | 300.00015 | 715460 | -1 | 208174 | 300.00372 | 376035 | -1 | 227141 |  
j60_9_8.rcp | 300.00012 | 650191 | -1 | 267340 | 300.01248 | 178472 | -1 | 482267 |  
j60_9_9.rcp | 300.0003 | 509821 | -1 | 247979 | 300.00006 | 118676 | -1 | 445742 |  
j60_9_10.rcp | 300.00006 | 1499588 | -1 | 293591 | 300.00012 | 82619 | -1 | 414439 |  
j60_10_1.rcp | 300.00027 | 305279 | -1 | 65275 | 300.00275 | 218317 | -1 | 350880 |  
j60_10_2.rcp | 300.00507 | 637261 | -1 | 92220 | 300.00018 | 1038050 | -1 | 114097 |  
j60_10_3.rcp | 300.00208 | 366387 | -1 | 162764 | 300.0107 | 336554 | -1 | 353492 |  
j60_10_4.rcp | 0.0373323 | 26 | 80 | 10 | 0.0295421 | 26 | 80 | 26 |  
j60_10_5.rcp | 300.00034 | 511565 | -1 | 248799 | 300.0011 | 355576 | -1 | 862648 |  
j60_10_6.rcp | 300.00015 | 352295 | -1 | 149870 | 300.00784 | 263209 | -1 | 419059 |  
j60_10_7.rcp | 300.002 | 465626 | -1 | 117087 | 300.0255 | 427344 | -1 | 348779 |  
j60_10_8.rcp | 110.260864 | 151852 | 65 | 20469 | 143.1691 | 151528 | 65 | 118684 |  
j60_10_9.rcp | 300.02014 | 418437 | -1 | 80959 | 300.02032 | 303278 | -1 | 223958 |  
j60_10_10.rcp | 300.02496 | 369594 | -1 | 135563 | 300.01572 | 346060 | -1 | 399614 |  
j60_11_1.rcp | 0.0393974 | 24 | 71 | 13 | 0.0204348 | 24 | 71 | 27 |  
j60_11_2.rcp | 0.0377102 | 55 | 61 | 6 | 0.027042 | 55 | 61 | 10 |  
j60_11_3.rcp | 0.019733 | 20 | 76 | 4 | 0.0155172 | 20 | 76 | 5 |  
j60_11_4.rcp | 300.0183 | 406271 | -1 | 50506 | 300.0134 | 471524 | -1 | 208958 |  
j60_11_5.rcp | 2.018159 | 2455 | 65 | 283 | 2.1312072 | 2419 | 65 | 1420 |  
j60_11_6.rcp | 0.0238999 | 30 | 70 | 0 | 0.018346 | 30 | 70 | 3 |  
j60_11_7.rcp | 0.0211376 | 21 | 70 | 7 | 0.0192001 | 21 | 70 | 11 |  
j60_11_8.rcp | 0.0322946 | 24 | 69 | 2 | 0.0186575 | 24 | 69 | 6 |  
j60_11_9.rcp | 0.0184863 | 21 | 62 | 3 | 0.0140984 | 21 | 62 | 10 |  
j60_11_10.rcp | 0.0288794 | 38 | 58 | 0 | 0.023272 | 38 | 58 | 11 |  
