2020-07-01
 16:09:19.476417700
Data/J30/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_1_1.rcp | 0.70809674 | 24 | 43 | 10 | 0.2032232 | 24 | 43 | 13 |  
j30_1_2.rcp | 1.7848017 | 18521 | 47 | 22212 | 2.1173236 | 18521 | 47 | 31236 |  
j30_1_3.rcp | 0.0030086 | 38 | 47 | 20 | 0.0045759 | 38 | 47 | 22 |  
j30_1_4.rcp | 300.00024 | 11091011 | -1 | 131979 | 300.014 | 1943490 | -1 | 51847 |  
j30_1_5.rcp | 66.49462 | 408767 | 39 | 558343 | 129.10376 | 404136 | 39 | 586219 |  
j30_1_6.rcp | 6.303573 | 33674 | 48 | 31766 | 13.390503 | 33674 | 48 | 30049 |  
j30_1_7.rcp | 0.0047858 | 17 | 60 | 6 | 0.0062372 | 17 | 60 | 12 |  
j30_1_8.rcp | 0.0024635 | 13 | 53 | 10 | 0.0070584 | 13 | 53 | 13 |  
j30_1_9.rcp | 300.00406 | 4148857 | -1 | 3577326 | 300.00278 | 1097087 | -1 | 1219686 |  
j30_1_10.rcp | 0.0346833 | 70 | 45 | 123 | 0.0255529 | 70 | 45 | 132 |  
j30_2_1.rcp | 0.0037124 | 23 | 38 | 21 | 0.0056251 | 23 | 38 | 28 |  
j30_2_2.rcp | 0.0022498 | 26 | 51 | 7 | 0.0055178 | 26 | 51 | 10 |  
j30_2_3.rcp | 0.0012741 | 14 | 43 | 1 | 0.0012649 | 14 | 43 | 1 |  
j30_2_4.rcp | 0.0019499 | 19 | 43 | 4 | 0.0019494 | 19 | 43 | 5 |  
j30_2_5.rcp | 0.0037164 | 37 | 51 | 6 | 0.0043155 | 37 | 51 | 15 |  
j30_2_6.rcp | 0.001518 | 21 | 47 | 6 | 0.0026912 | 21 | 47 | 9 |  
j30_2_7.rcp | 0.0028031 | 13 | 47 | 5 | 0.002325 | 13 | 47 | 8 |  
j30_2_8.rcp | 0.0026976 | 20 | 54 | 12 | 0.0033731 | 20 | 54 | 19 |  
j30_2_9.rcp | 0.0029625 | 20 | 54 | 13 | 0.0049976 | 20 | 54 | 18 |  
j30_2_10.rcp | 0.0072295 | 78 | 43 | 41 | 0.0104907 | 78 | 43 | 67 |  
j30_3_1.rcp | 0.0016073 | 13 | 72 | 4 | 0.0023998 | 13 | 72 | 5 |  
j30_3_2.rcp | 0.0016878 | 18 | 40 | 2 | 0.0038554 | 18 | 40 | 6 |  
j30_3_3.rcp | 0.0011656 | 15 | 57 | 4 | 0.0018177 | 15 | 57 | 8 |  
j30_3_4.rcp | 0.0012955 | 15 | 98 | 7 | 0.0032514 | 15 | 98 | 8 |  
j30_3_5.rcp | 0.0035514 | 31 | 53 | 8 | 0.0041794 | 31 | 53 | 9 |  
j30_3_6.rcp | 0.0015436 | 19 | 54 | 1 | 0.0027102 | 19 | 54 | 5 |  
j30_3_7.rcp | 0.0026992 | 16 | 48 | 3 | 0.0017663 | 16 | 48 | 6 |  
j30_3_8.rcp | 0.0015014 | 13 | 54 | 2 | 0.0031202 | 13 | 54 | 3 |  
j30_3_9.rcp | 0.0084155 | 87 | 65 | 20 | 0.0122546 | 87 | 65 | 30 |  
j30_3_10.rcp | 0.0033632 | 18 | 59 | 5 | 0.0046332 | 18 | 59 | 9 |  
j30_4_1.rcp | 0.0011959 | 13 | 49 | 1 | 0.0019021 | 13 | 49 | 2 |  
j30_4_2.rcp | 0.0015534 | 16 | 60 | 3 | 0.0025016 | 16 | 60 | 4 |  
j30_4_3.rcp | 0.0016509 | 13 | 47 | 2 | 0.0019973 | 13 | 47 | 5 |  
