2020-05-11
 13:07:30.009552400
Data/j30/J30 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_1_1.rcp | 0.0477548 | 24 | 43 | 10 | 0.0329736 | 24 | 43 | 13 |  
j30_1_2.rcp | 1.9546217 | 18521 | 47 | 22212 | 1.44158 | 18521 | 47 | 31208 |  
j30_1_3.rcp | 0.002787 | 38 | 47 | 20 | 0.002078 | 38 | 47 | 22 |  
j30_1_4.rcp | 300.01822 | 13704490 | -1 | 162508 | 300.00012 | 10843147 | -1 | 657971 |  
j30_1_5.rcp | 25.118654 | 408767 | 39 | 558343 | 25.737755 | 404136 | 39 | 559150 |  
j30_1_6.rcp | 2.4633243 | 33674 | 48 | 31766 | 2.8409076 | 33674 | 48 | 35284 |  
j30_1_7.rcp | 0.0012399 | 17 | 60 | 6 | 0.0014105 | 17 | 60 | 12 |  
j30_1_8.rcp | 9.565E-4 | 13 | 53 | 10 | 0.0012331 | 13 | 53 | 13 |  
j30_1_9.rcp | 194.14491 | 4518508 | 49 | 3895850 | 166.59763 | 3411082 | 49 | 3329992 |  
j30_1_10.rcp | 0.0103009 | 70 | 45 | 123 | 0.0069703 | 70 | 45 | 114 |  
j30_2_1.rcp | 0.0021006 | 23 | 38 | 21 | 0.0022356 | 23 | 38 | 28 |  
j30_2_2.rcp | 0.0019992 | 26 | 51 | 7 | 0.001976 | 26 | 51 | 10 |  
j30_2_3.rcp | 8.099E-4 | 14 | 43 | 1 | 7.146E-4 | 14 | 43 | 1 |  
j30_2_4.rcp | 0.0011256 | 19 | 43 | 4 | 0.0010889 | 19 | 43 | 5 |  
j30_2_5.rcp | 0.0014037 | 37 | 51 | 6 | 0.0015088 | 37 | 51 | 15 |  
j30_2_6.rcp | 0.0011238 | 21 | 47 | 6 | 0.0015753 | 21 | 47 | 9 |  
j30_2_7.rcp | 0.0011844 | 13 | 47 | 5 | 0.0010272 | 13 | 47 | 8 |  
j30_2_8.rcp | 0.0018421 | 20 | 54 | 12 | 0.0018208 | 20 | 54 | 19 |  
j30_2_9.rcp | 0.0019175 | 20 | 54 | 13 | 0.0018707 | 20 | 54 | 18 |  
j30_2_10.rcp | 0.0037906 | 78 | 43 | 41 | 0.0044272 | 78 | 43 | 67 |  
j30_3_1.rcp | 8.398E-4 | 13 | 72 | 4 | 8.116E-4 | 13 | 72 | 5 |  
j30_3_2.rcp | 9.6E-4 | 18 | 40 | 2 | 9.606E-4 | 18 | 40 | 6 |  
j30_3_3.rcp | 9.369E-4 | 15 | 57 | 4 | 8.172E-4 | 15 | 57 | 8 |  
j30_3_4.rcp | 7.815E-4 | 15 | 98 | 7 | 0.0012214 | 15 | 98 | 8 |  
j30_3_5.rcp | 0.0019989 | 31 | 53 | 8 | 0.0019387 | 31 | 53 | 9 |  
j30_3_6.rcp | 0.0010694 | 19 | 54 | 1 | 0.0012317 | 19 | 54 | 5 |  
j30_3_7.rcp | 8.874E-4 | 16 | 48 | 3 | 9.375E-4 | 16 | 48 | 6 |  
j30_3_8.rcp | 8.142E-4 | 13 | 54 | 2 | 7.297E-4 | 13 | 54 | 3 |  
j30_3_9.rcp | 0.0047638 | 87 | 65 | 20 | 0.0053981 | 87 | 65 | 30 |  
j30_3_10.rcp | 0.0015046 | 18 | 59 | 5 | 0.0016108 | 18 | 59 | 9 |  
j30_4_1.rcp | 6.899E-4 | 13 | 49 | 1 | 6.43E-4 | 13 | 49 | 2 |  
j30_4_2.rcp | 0.0011364 | 16 | 60 | 3 | 9.082E-4 | 16 | 60 | 4 |  
j30_4_3.rcp | 8.466E-4 | 13 | 47 | 2 | 8.215E-4 | 13 | 47 | 5 |  
j30_4_4.rcp | 6.975E-4 | 12 | 57 | 0 | 7.747E-4 | 12 | 57 | 2 |  
j30_4_5.rcp | 0.0013639 | 14 | 59 | 5 | 0.0012495 | 14 | 59 | 5 |  
j30_4_6.rcp | 8.676E-4 | 12 | 45 | 3 | 7.992E-4 | 12 | 45 | 4 |  
j30_4_7.rcp | 7.248E-4 | 11 | 56 | 2 | 7.013E-4 | 11 | 56 | 2 |  
j30_4_8.rcp | 0.0011141 | 13 | 55 | 0 | 8.014E-4 | 13 | 55 | 0 |  
j30_4_9.rcp | 0.0010978 | 10 | 38 | 4 | 0.0010835 | 10 | 38 | 4 |  
j30_4_10.rcp | 0.0013385 | 11 | 48 | 3 | 0.0016969 | 11 | 48 | 3 |  
j30_5_1.rcp | 300.0079 | 1797086 | -1 | 1850705 | 300.0001 | 1505967 | -1 | 2322290 |  
j30_5_2.rcp | 300.01663 | 1381015 | -1 | 2828648 | 300.00012 | 1259693 | -1 | 2310845 |  
j30_5_3.rcp | 300.00504 | 836463 | -1 | 2594723 | 300.0011 | 813858 | -1 | 2375085 |  
j30_5_4.rcp | 300.00143 | 1663840 | -1 | 1863016 | 300.00964 | 1758784 | -1 | 2195311 |  
j30_5_5.rcp | 300.0005 | 1427358 | -1 | 2463733 | 300.00186 | 1485800 | -1 | 1909958 |  
j30_5_6.rcp | 300.00067 | 1591507 | -1 | 2521672 | 300.0145 | 1690307 | -1 | 2036200 |  
j30_5_7.rcp | 300.01355 | 1588455 | -1 | 2651683 | 300.00006 | 1707634 | -1 | 2086510 |  
j30_5_8.rcp | 300.01306 | 1711903 | -1 | 2371629 | 300.00006 | 1538579 | -1 | 2385538 |  
j30_5_9.rcp | 300.00006 | 1251511 | -1 | 1411560 | 300.00015 | 1234807 | -1 | 1615183 |  
j30_5_10.rcp | 300.00027 | 1153504 | -1 | 2551132 | 300.0101 | 984024 | -1 | 2706524 |  
j30_6_1.rcp | 300.0188 | 1845967 | -1 | 619211 | 300.01215 | 1716912 | -1 | 1199238 |  
j30_6_2.rcp | 300.01566 | 1423155 | -1 | 1205657 | 300.01352 | 1141256 | -1 | 2703605 |  
j30_6_3.rcp | 10.599253 | 65774 | 48 | 11210 | 13.808782 | 65774 | 48 | 44559 |  
j30_6_4.rcp | 300.00165 | 1853927 | -1 | 964954 | 300.00006 | 1738455 | -1 | 2267734 |  
j30_6_5.rcp | 300.00052 | 1736974 | -1 | 715960 | 300.0001 | 1560096 | -1 | 1360571 |  
j30_6_6.rcp | 0.0059804 | 19 | 37 | 17 | 0.0047041 | 19 | 37 | 21 |  
j30_6_7.rcp | 0.0052521 | 22 | 46 | 12 | 0.0055067 | 22 | 46 | 25 |  
