2020-05-16
 10:19:56.445164600
Data/KSD15/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_6_7.rcp | 0.0156281 | 258 | 438 | 1 | 0.0138662 | 258 | 438 | 3 |  
j30_6_8.rcp | 0.0013957 | 9 | 327 | 1 | 7.754E-4 | 9 | 327 | 2 |  
j30_6_9.rcp | 0.0016522 | 16 | 363 | 0 | 0.0034377 | 16 | 363 | 1 |  
j30_6_10.rcp | 0.0051653 | 71 | 341 | 1 | 0.0042028 | 71 | 341 | 1 |  
j30_7_1.rcp | 6.253E-4 | 8 | 509 | 0 | 6.507E-4 | 8 | 509 | 1 |  
j30_7_2.rcp | 0.0026598 | 38 | 328 | 0 | 0.0028439 | 38 | 328 | 8 |  
j30_7_3.rcp | 6.121E-4 | 10 | 309 | 2 | 5.376E-4 | 10 | 309 | 3 |  
j30_7_4.rcp | 0.0012509 | 11 | 382 | 2 | 0.0010337 | 11 | 382 | 6 |  
j30_7_5.rcp | 0.0092162 | 142 | 326 | 0 | 0.0085416 | 142 | 326 | 0 |  
j30_7_6.rcp | 6.985E-4 | 10 | 378 | 0 | 7.669E-4 | 10 | 378 | 0 |  
j30_7_7.rcp | 0.001044 | 8 | 680 | 0 | 8.512E-4 | 8 | 680 | 1 |  
j30_7_8.rcp | 0.0147275 | 158 | 512 | 0 | 0.0142712 | 158 | 512 | 33 |  
j30_7_9.rcp | 6.685E-4 | 9 | 477 | 0 | 7.083E-4 | 9 | 477 | 0 |  
j30_7_10.rcp | 0.0019839 | 46 | 285 | 2 | 0.0019396 | 46 | 285 | 2 |  
j30_8_1.rcp | 6.671E-4 | 9 | 306 | 1 | 6.878E-4 | 9 | 306 | 1 |  
j30_8_2.rcp | 8.382E-4 | 9 | 455 | 0 | 6.978E-4 | 9 | 455 | 0 |  
j30_8_3.rcp | 6.016E-4 | 10 | 379 | 0 | 6.045E-4 | 10 | 379 | 0 |  
j30_8_4.rcp | 7.392E-4 | 11 | 334 | 1 | 9.694E-4 | 11 | 334 | 1 |  
j30_8_5.rcp | 7.642E-4 | 10 | 476 | 1 | 8.655E-4 | 10 | 476 | 1 |  
j30_8_6.rcp | 6.321E-4 | 10 | 651 | 0 | 7.498E-4 | 10 | 651 | 0 |  
j30_8_7.rcp | 6.298E-4 | 7 | 362 | 1 | 7.63E-4 | 7 | 362 | 1 |  
j30_8_8.rcp | 7.279E-4 | 11 | 478 | 0 | 9.137E-4 | 11 | 478 | 0 |  
j30_8_9.rcp | 6.482E-4 | 10 | 379 | 0 | 6.221E-4 | 10 | 379 | 0 |  
j30_8_10.rcp | 7.519E-4 | 10 | 759 | 0 | 0.0010727 | 10 | 759 | 0 |  
j30_9_1.rcp | 300.0001 | 1371531 | -1 | 1985202 | 300.00037 | 1380169 | -1 | 2086498 |  
j30_9_2.rcp | 62.23751 | 303808 | 652 | 652819 | 88.48286 | 303808 | 652 | 755042 |  
j30_9_3.rcp | 300.00027 | 1786735 | -1 | 691329 | 300.00034 | 664051 | -1 | 294215 |  
j30_9_4.rcp | 300.0004 | 696974 | -1 | 677394 | 300.00098 | 573750 | -1 | 677807 |  
j30_9_5.rcp | 300.0004 | 1371862 | -1 | 179420 | 300.0001 | 2736733 | -1 | 408248 |  
j30_9_6.rcp | 0.0025234 | 10 | 626 | 6 | 0.0030069 | 10 | 626 | 13 |  
j30_9_7.rcp | 0.0034422 | 16 | 607 | 12 | 0.0048705 | 16 | 607 | 17 |  
j30_9_8.rcp | 0.0179009 | 140 | 435 | 97 | 0.0224811 | 140 | 435 | 109 |  
j30_9_9.rcp | 300.00064 | 2085674 | -1 | 1269241 | 300.00015 | 1895252 | -1 | 1352824 |  
j30_9_10.rcp | 0.0092024 | 22 | 674 | 23 | 0.0091016 | 22 | 674 | 28 |  
j30_10_1.rcp | 0.0012024 | 11 | 408 | 0 | 0.0014734 | 11 | 408 | 2 |  
j30_10_2.rcp | 0.0010986 | 9 | 480 | 0 | 0.0015425 | 9 | 480 | 4 |  
j30_10_3.rcp | 0.0011112 | 8 | 509 | 0 | 8.037E-4 | 8 | 509 | 0 |  
j30_10_4.rcp | 0.0012886 | 10 | 461 | 2 | 0.0010263 | 10 | 461 | 9 |  
j30_10_5.rcp | 0.0089262 | 108 | 308 | 0 | 0.0077704 | 108 | 308 | 1 |  
j30_10_6.rcp | 0.0012804 | 10 | 462 | 1 | 0.0011198 | 10 | 462 | 3 |  
j30_10_7.rcp | 0.0013835 | 10 | 562 | 3 | 0.0016957 | 10 | 562 | 5 |  
j30_10_8.rcp | 0.0013651 | 9 | 330 | 1 | 0.0015706 | 9 | 330 | 4 |  
j30_10_9.rcp | 3.6962638 | 43079 | 335 | 0 | 3.2632113 | 43079 | 335 | 35811 |  
