2020-05-21
 18:15:45.849369500
Data/J90/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j90_7_8.rcp | 0.0281521 | 53 | 60 | 0 | 0.0244658 | 53 | 60 | 2 |  
j90_7_9.rcp | 0.0243451 | 31 | 83 | 2 | 0.02478 | 31 | 83 | 5 |  
j90_7_10.rcp | 0.0265902 | 37 | 98 | 5 | 0.0297299 | 37 | 98 | 21 |  
j90_8_1.rcp | 0.0212904 | 37 | 96 | 0 | 0.0177647 | 37 | 96 | 0 |  
j90_8_2.rcp | 0.0219553 | 35 | 78 | 2 | 0.0187983 | 35 | 78 | 5 |  
j90_8_3.rcp | 0.0161328 | 34 | 70 | 0 | 0.0136688 | 34 | 70 | 2 |  
j90_8_4.rcp | 0.0229419 | 34 | 77 | 4 | 0.0219128 | 34 | 77 | 8 |  
j90_8_5.rcp | 0.0198651 | 36 | 63 | 1 | 0.0162186 | 36 | 63 | 2 |  
j90_8_6.rcp | 0.0169275 | 32 | 70 | 0 | 0.0157726 | 32 | 70 | 4 |  
j90_8_7.rcp | 0.0196715 | 37 | 77 | 0 | 0.0210872 | 37 | 77 | 0 |  
j90_8_8.rcp | 0.0191355 | 34 | 68 | 0 | 0.0158691 | 34 | 68 | 3 |  
j90_8_9.rcp | 0.0196457 | 32 | 97 | 0 | 0.0178611 | 32 | 97 | 1 |  
j90_8_10.rcp | 0.0184808 | 31 | 88 | 0 | 0.0148761 | 31 | 88 | 2 |  
j90_9_1.rcp | 300.0001 | 706639 | -1 | 308717 | 300.00345 | 48986 | -1 | 151078 |  
j90_9_2.rcp | 300.0005 | 480353 | -1 | 102373 | 300.00516 | 50787 | -1 | 235723 |  
j90_9_3.rcp | 300.00076 | 182044 | -1 | 590413 | 300.0097 | 99695 | -1 | 261699 |  
j90_9_4.rcp | 300.00006 | 584126 | -1 | 268875 | 300.02167 | 82458 | -1 | 173124 |  
j90_9_5.rcp | 300.00116 | 597296 | -1 | 54746 | 300.04395 | 48003 | -1 | 82507 |  
j90_9_6.rcp | 300.00076 | 289968 | -1 | 157434 | 300.0011 | 30484 | -1 | 134828 |  
j90_9_7.rcp | 300.00015 | 454560 | -1 | 340006 | 300.01437 | 45885 | -1 | 201659 |  
j90_9_8.rcp | 300.00027 | 573136 | -1 | 63516 | 300.0059 | 115832 | -1 | 149204 |  
j90_9_9.rcp | 300.0026 | 226252 | -1 | 239106 | 300.01752 | 30707 | -1 | 113016 |  
j90_9_10.rcp | 300.00256 | 220984 | -1 | 323461 | 300.00876 | 28064 | -1 | 168920 |  
j90_10_1.rcp | 300.00098 | 273365 | -1 | 39391 | 300.00232 | 150920 | -1 | 177800 |  
j90_10_2.rcp | 300.00082 | 205994 | -1 | 45420 | 300.00092 | 120599 | -1 | 103747 |  
j90_10_3.rcp | 300.00024 | 236228 | -1 | 38404 | 300.00195 | 179218 | -1 | 60470 |  
j90_10_4.rcp | 300.0006 | 316305 | -1 | 15305 | 300.00168 | 134467 | -1 | 355222 |  
j90_10_5.rcp | 300.00363 | 290892 | -1 | 125769 | 300.00037 | 177784 | -1 | 367516 |  
j90_10_6.rcp | 0.0873327 | 43 | 92 | 3 | 0.0864316 | 43 | 92 | 9 |  
j90_10_7.rcp | 300.00098 | 341225 | -1 | 92088 | 300.00095 | 301309 | -1 | 118061 |  
j90_10_8.rcp | 300.00113 | 282548 | -1 | 24990 | 300.01797 | 72860 | -1 | 137732 |  
j90_10_9.rcp | 300.00067 | 246728 | -1 | 136824 | 300.00034 | 342043 | -1 | 268122 |  
j90_10_10.rcp | 300.0019 | 198151 | -1 | 300599 | 300.00098 | 143360 | -1 | 337741 |  
j90_11_1.rcp | 23.722803 | 27336 | 86 | 976 | 24.82171 | 27336 | 86 | 6744 |  
j90_11_2.rcp | 0.0694504 | 41 | 99 | 6 | 0.070117906 | 33 | 99 | 22 |  
j90_11_3.rcp | 0.0405992 | 25 | 69 | 2 | 0.0418837 | 25 | 69 | 9 |  
j90_11_4.rcp | 0.0848576 | 70 | 64 | 14 | 0.0961095 | 70 | 64 | 45 |  
j90_11_5.rcp | 0.0420852 | 35 | 81 | 1 | 0.0374753 | 35 | 81 | 6 |  
j90_11_6.rcp | 300.00037 | 302284 | -1 | 42598 | 300.00128 | 292088 | -1 | 128458 |  
j90_11_7.rcp | 0.0439006 | 30 | 95 | 1 | 0.0398718 | 30 | 95 | 9 |  
j90_11_8.rcp | 300.0001 | 244238 | -1 | 30917 | 300.00055 | 182905 | -1 | 69319 |  
j90_11_9.rcp | 300.00073 | 277244 | -1 | 1 | 300.0024 | 275701 | -1 | 42121 |  
j90_11_10.rcp | 300.0005 | 274100 | -1 | 52901 | 300.0005 | 226174 | -1 | 174712 |  
j90_12_1.rcp | 0.0440305 | 40 | 71 | 0 | 0.0306001 | 40 | 71 | 0 |  
j90_12_2.rcp | 0.0378966 | 30 | 71 | 1 | 0.025216 | 30 | 71 | 2 |  
j90_12_3.rcp | 0.0362283 | 34 | 93 | 0 | 0.0321817 | 34 | 93 | 3 |  
j90_12_4.rcp | 0.0415263 | 36 | 73 | 1 | 0.0324798 | 36 | 73 | 5 |  
j90_12_5.rcp | 0.0320012 | 27 | 83 | 0 | 0.0232945 | 27 | 83 | 0 |  
j90_12_6.rcp | 0.0273654 | 33 | 81 | 0 | 0.0221634 | 33 | 81 | 0 |  
j90_12_7.rcp | 0.0279815 | 32 | 77 | 0 | 0.0232699 | 32 | 77 | 1 |  
j90_12_8.rcp | 0.0328304 | 33 | 83 | 0 | 0.0268991 | 33 | 83 | 0 |  
j90_12_9.rcp | 0.0303351 | 32 | 77 | 0 | 0.0243617 | 32 | 77 | 0 |  
j90_12_10.rcp | 0.0323915 | 34 | 86 | 1 | 0.026892 | 34 | 86 | 2 |  
j90_13_1.rcp | 300.00067 | 217668 | -1 | 58259 | 300.00565 | 62229 | -1 | 35937 |  
j90_13_2.rcp | 300.00006 | 439329 | -1 | 10265 | 300.01965 | 20999 | -1 | 78103 |  
j90_13_3.rcp | 300.00073 | 295306 | -1 | 201814 | 300.0018 | 64455 | -1 | 62703 |  
j90_13_4.rcp | 300.00034 | 212814 | -1 | 406543 | 300.00266 | 66707 | -1 | 61632 |  
j90_13_5.rcp | 300.00003 | 824546 | -1 | 902 | 300.00092 | 40034 | -1 | 129216 |  
j90_13_6.rcp | 300.00058 | 210342 | -1 | 45716 | 300.00372 | 102443 | -1 | 35156 |  
j90_13_7.rcp | 300.0002 | 411790 | -1 | 89 | 300.01556 | 55399 | -1 | 116390 |  
j90_13_8.rcp | 300.0017 | 180988 | -1 | 45508 | 300.00006 | 113062 | -1 | 35880 |  
j90_13_9.rcp | 300.0005 | 579499 | -1 | 4 | 300.00854 | 121110 | -1 | 102021 |  
j90_13_10.rcp | 300.0019 | 316219 | -1 | 10750 | 300.001 | 221976 | -1 | 3088 |  
j90_14_1.rcp | 300.0003 | 161035 | -1 | 101778 | 300.00183 | 117396 | -1 | 98190 |  
j90_14_2.rcp | 300.00107 | 253321 | -1 | 79861 | 300.00656 | 67082 | -1 | 160254 |  
j90_14_3.rcp | 300.013 | 198030 | -1 | 208678 | 300.00082 | 60780 | -1 | 296590 |  
j90_14_4.rcp | 300.00055 | 157719 | -1 | 79586 | 300.0081 | 48239 | -1 | 207077 |  
j90_14_5.rcp | 300.003 | 207389 | -1 | 17715 | 300.00006 | 144630 | -1 | 95031 |  
j90_14_6.rcp | 300.0009 | 233106 | -1 | 53188 | 300.0091 | 62077 | -1 | 145440 |  
j90_14_7.rcp | 300.00113 | 195593 | -1 | 510 | 300.0011 | 176260 | -1 | 12610 |  
j90_14_8.rcp | 300.00104 | 252905 | -1 | 50634 | 300.0084 | 87353 | -1 | 156073 |  
j90_14_9.rcp | 300.0008 | 166734 | -1 | 64573 | 300.0009 | 75312 | -1 | 166628 |  
j90_14_10.rcp | 300.00052 | 199786 | -1 | 49564 | 300.00104 | 91452 | -1 | 117915 |  
j90_15_1.rcp | 31.226517 | 18696 | 76 | 0 | 28.32788 | 18696 | 76 | 41 |  
j90_15_2.rcp | 0.1450368 | 82 | 71 | 0 | 0.1819019 | 82 | 71 | 41 |  
j90_15_3.rcp | 0.1146566 | 60 | 82 | 4 | 0.1034544 | 54 | 82 | 23 |  
j90_15_4.rcp | 0.0508907 | 27 | 92 | 0 | 0.0469927 | 27 | 92 | 2 |  
j90_15_5.rcp | 0.1357937 | 54 | 93 | 8 | 0.15220141 | 54 | 93 | 35 |  
j90_15_6.rcp | 300.00012 | 209764 | -1 | 21903 | 300.00323 | 166241 | -1 | 152173 |  
j90_15_7.rcp | 0.07186329 | 44 | 82 | 0 | 0.0781451 | 44 | 82 | 10 |  
j90_15_8.rcp | 112.59865 | 66291 | 82 | 5948 | 93.29842 | 47793 | 82 | 12221 |  
j90_15_9.rcp | 0.0987403 | 54 | 83 | 2 | 0.088748 | 54 | 83 | 4 |  
j90_15_10.rcp | 300.00098 | 178026 | -1 | 8110 | 300.00238 | 192451 | -1 | 43560 |  
j90_16_1.rcp | 0.0450993 | 32 | 85 | 0 | 0.0359273 | 32 | 85 | 1 |  
j90_16_2.rcp | 0.0495669 | 32 | 71 | 0 | 0.0401659 | 32 | 71 | 0 |  
j90_16_3.rcp | 0.0595555 | 35 | 73 | 0 | 0.0475404 | 35 | 73 | 3 |  
j90_16_4.rcp | 0.0515432 | 34 | 69 | 0 | 0.042585 | 34 | 69 | 2 |  
j90_16_5.rcp | 0.0494293 | 33 | 71 | 0 | 0.0391991 | 33 | 71 | 1 |  
j90_16_6.rcp | 0.0367212 | 30 | 74 | 0 | 0.0294278 | 30 | 74 | 0 |  
j90_16_7.rcp | 0.0522372 | 39 | 65 | 2 | 0.0490063 | 39 | 65 | 2 |  
