2020-06-22
 14:32:41.784911100
Data/J30/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_6_8.rcp | 0.0085914 | 20 | 39 | 14 | 0.0071324 | 20 | 39 | 14 |  
j30_6_9.rcp | 0.0073053 | 19 | 51 | 15 | 0.00425 | 19 | 51 | 15 |  
j30_6_10.rcp | 300.00003 | 880090 | -1 | 1022597 | 300.0001 | 1448736 | -1 | 1875247 |  
j30_7_1.rcp | 0.0094784 | 16 | 55 | 1 | 0.0027989 | 16 | 55 | 1 |  
j30_7_2.rcp | 0.004171 | 16 | 42 | 3 | 0.0027143 | 16 | 42 | 3 |  
j30_7_3.rcp | 0.0064815 | 18 | 42 | 7 | 0.0033525 | 18 | 42 | 7 |  
j30_7_4.rcp | 0.005411 | 19 | 44 | 5 | 0.0029938 | 19 | 44 | 5 |  
j30_7_5.rcp | 0.0121723 | 44 | 44 | 8 | 0.0073244 | 44 | 44 | 8 |  
j30_7_6.rcp | 0.0032538 | 13 | 35 | 3 | 0.001733 | 13 | 35 | 3 |  
j30_7_7.rcp | 0.0061892 | 12 | 50 | 12 | 0.0034209 | 12 | 50 | 12 |  
j30_7_8.rcp | 0.0177646 | 27 | 44 | 29 | 0.0066336 | 27 | 44 | 29 |  
j30_7_9.rcp | 0.0093337 | 23 | 60 | 8 | 0.0053612 | 23 | 60 | 8 |  
j30_7_10.rcp | 29.037518 | 153428 | 49 | 23310 | 17.406807 | 153428 | 49 | 8783 |  
j30_8_1.rcp | 0.0018143 | 11 | 44 | 0 | 0.0011034 | 11 | 44 | 0 |  
j30_8_2.rcp | 0.0021805 | 13 | 51 | 0 | 0.0013485 | 13 | 51 | 0 |  
j30_8_3.rcp | 0.0023565 | 14 | 53 | 1 | 0.0014172 | 14 | 53 | 1 |  
j30_8_4.rcp | 0.0036164 | 16 | 48 | 2 | 0.0020261 | 16 | 48 | 2 |  
j30_8_5.rcp | 0.0035984 | 15 | 58 | 1 | 0.0017216 | 15 | 58 | 1 |  
j30_8_6.rcp | 0.003358 | 13 | 47 | 3 | 0.0018621 | 13 | 47 | 3 |  
