2020-06-24
 11:13:18.363220100
Data/J60/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j60_1_1.rcp | 300.0006 | 1122150 | -1 | 950572 | 300.0001 | 2887857 | -1 | 2258005 |  
j60_1_2.rcp | 0.0446816 | 54 | 68 | 140 | 0.0269005 | 54 | 68 | 140 |  
j60_1_3.rcp | 300.00006 | 567257 | -1 | 1456659 | 300.0004 | 1054611 | -1 | 3495857 |  
j60_1_4.rcp | 300.00024 | 783010 | -1 | 1384091 | 300.00006 | 1212570 | -1 | 2119490 |  
j60_1_5.rcp | 32.37045 | 136746 | 73 | 71830 | 18.825302 | 136746 | 73 | 77437 |  
j60_1_6.rcp | 300.00018 | 862909 | -1 | 1030662 | 300.00015 | 1262181 | -1 | 1548961 |  
j60_1_7.rcp | 300.00052 | 818569 | -1 | 1792074 | 300.0002 | 1530046 | -1 | 2836351 |  
j60_1_8.rcp | 300.00015 | 1675606 | -1 | 1576792 | 15707.472 | 717663 | -1 | 527267 |  
j60_1_9.rcp | 300.01068 | 615332 | -1 | 1144168 | 300.0002 | 923509 | -1 | 1954037 |  
j60_1_10.rcp | 0.0178999 | 46 | 80 | 49 | 0.0109729 | 46 | 80 | 49 |  
j60_2_1.rcp | 0.0100625 | 35 | 65 | 14 | 0.0056274 | 35 | 65 | 14 |  
j60_2_2.rcp | 0.0119973 | 36 | 82 | 18 | 0.0058342 | 36 | 82 | 18 |  
j60_2_3.rcp | 0.0092165 | 26 | 78 | 18 | 0.0052259 | 26 | 78 | 18 |  
j60_2_4.rcp | 0.0104204 | 31 | 78 | 20 | 0.0056722 | 31 | 78 | 20 |  
j60_2_5.rcp | 0.0095217 | 30 | 54 | 16 | 0.0050866 | 30 | 54 | 16 |  
j60_2_6.rcp | 0.0087934 | 32 | 64 | 15 | 0.0053609 | 32 | 64 | 15 |  
j60_2_7.rcp | 0.0110873 | 38 | 53 | 10 | 0.0070374 | 38 | 53 | 10 |  
j60_2_8.rcp | 0.0089083 | 26 | 66 | 15 | 0.0066311 | 26 | 66 | 15 |  
j60_2_9.rcp | 0.0083485 | 31 | 65 | 10 | 0.0037284 | 31 | 65 | 10 |  
j60_2_10.rcp | 0.0163787 | 50 | 69 | 15 | 0.0147294 | 50 | 69 | 15 |  
j60_3_1.rcp | 0.0061539 | 26 | 60 | 3 | 0.0027149 | 26 | 60 | 3 |  
j60_3_2.rcp | 0.0104599 | 27 | 69 | 10 | 0.0058163 | 27 | 69 | 10 |  
j60_3_3.rcp | 0.0140392 | 32 | 105 | 7 | 0.0054556 | 32 | 105 | 7 |  
j60_3_4.rcp | 0.0092824 | 28 | 81 | 4 | 0.0039053 | 28 | 81 | 4 |  
j60_3_5.rcp | 0.0087472 | 23 | 83 | 4 | 0.0049189 | 23 | 83 | 4 |  
j60_3_6.rcp | 0.0084701 | 29 | 57 | 10 | 0.0060136 | 29 | 57 | 10 |  
j60_3_7.rcp | 0.008436 | 29 | 59 | 5 | 0.0047777 | 29 | 59 | 7 |  
j60_3_8.rcp | 300.00073 | 997818 | -1 | 1484322 | 300.00003 | 2148142 | -1 | 3208394 |  
j60_3_9.rcp | 0.0097713 | 31 | 67 | 8 | 0.005609 | 31 | 67 | 8 |  
j60_3_10.rcp | 0.017703 | 47 | 69 | 29 | 0.0103652 | 47 | 69 | 29 |  
j60_4_1.rcp | 0.0043809 | 25 | 84 | 0 | 0.0023526 | 25 | 84 | 0 |  
j60_4_2.rcp | 0.0032953 | 19 | 60 | 0 | 0.0018977 | 19 | 60 | 0 |  
j60_4_3.rcp | 0.003742 | 23 | 58 | 2 | 0.0020726 | 23 | 58 | 2 |  
j60_4_4.rcp | 0.004708 | 25 | 65 | 3 | 0.0025735 | 25 | 65 | 3 |  
j60_4_5.rcp | 0.0042896 | 23 | 75 | 1 | 0.0022626 | 23 | 75 | 1 |  
j60_4_6.rcp | 0.0042207 | 25 | 71 | 0 | 0.0022218 | 25 | 71 | 0 |  
j60_4_7.rcp | 0.004699 | 24 | 67 | 2 | 0.0024903 | 24 | 67 | 2 |  
j60_4_8.rcp | 0.0052047 | 26 | 65 | 3 | 0.0025374 | 26 | 65 | 3 |  
j60_4_9.rcp | 0.0050127 | 21 | 75 | 3 | 0.0026538 | 21 | 75 | 3 |  
j60_4_10.rcp | 0.005151 | 24 | 77 | 3 | 0.0027842 | 24 | 77 | 3 |  
j60_5_1.rcp | 300.001 | 323668 | -1 | 307505 | 300.0002 | 516313 | -1 | 423061 |  
j60_5_2.rcp | 300.0002 | 150920 | -1 | 296519 | 300.00186 | 244599 | -1 | 485459 |  
j60_5_3.rcp | 300.0006 | 124442 | -1 | 445062 | 300.00177 | 169887 | -1 | 658707 |  
j60_5_4.rcp | 300.00192 | 96706 | -1 | 388295 | 300.00006 | 130780 | -1 | 577676 |  
j60_5_5.rcp | 300.00168 | 153494 | -1 | 479972 | 300.00638 | 216538 | -1 | 729655 |  
j60_5_6.rcp | 300.00504 | 129300 | -1 | 397403 | 300.00092 | 188046 | -1 | 593171 |  
j60_5_7.rcp | 300.00266 | 221548 | -1 | 604522 | 300.00027 | 297531 | -1 | 820924 |  
j60_5_8.rcp | 300.00095 | 124337 | -1 | 396670 | 300.00037 | 182878 | -1 | 610980 |  
j60_5_9.rcp | 300.00772 | 154790 | -1 | 736526 | 300.00107 | 245696 | -1 | 1210055 |  
j60_5_10.rcp | 300.00027 | 604782 | -1 | 211235 | 300.0001 | 695054 | -1 | 220106 |  
j60_6_1.rcp | 300.0001 | 329910 | -1 | 291776 | 300.0002 | 640041 | -1 | 540027 |  
j60_6_2.rcp | 300.00137 | 332399 | -1 | 209901 | 300.0007 | 607920 | -1 | 382465 |  
j60_6_3.rcp | 0.0425237 | 41 | 72 | 27 | 0.0190339 | 41 | 72 | 27 |  
j60_6_4.rcp | 26.03685 | 23695 | 67 | 33846 | 10.022049 | 23695 | 67 | 33906 |  
j60_6_5.rcp | 0.0388977 | 39 | 78 | 23 | 0.0174168 | 39 | 78 | 23 |  
j60_6_6.rcp | 300.0012 | 265427 | -1 | 241795 | 300.00024 | 460140 | -1 | 429474 |  
j60_6_7.rcp | 300.00092 | 509165 | -1 | 165123 | 300.0001 | 939774 | -1 | 263583 |  
